,ano,Bandeira,Funcao,Emitidos,Ativos,Transacoes,vl_Transacoes,trimestre
0,2011,Diners Club,Crédito,434351,309953,4218564,671770266.1,2
1,2017,MasterCard,Débito,196991,116111,1869601,181622759.48,2
2,2012,MasterCard,Débito,146656,74267,658477,57929494.87,2
3,2021,MasterCard,Débito,121895981,39810551,1092517148,73241722332.62,1
4,2021,MasterCard,Crédito,2182841,1724940,106576454,20964741432.09,1
5,2015,Elo,Crédito,306071,98958,991979,476517461.49,4
6,2014,Elo,Crédito,10564,4076,16922,19078899.3,1
7,2021,MasterCard,Débito,864416,385714,9028660,816062254.61,3
8,2016,Elo,Débito,39676261,13569281,133566608,7527158555.6,1
9,2023,Elo,Débito,989166,394867,9191895,1227528692.45,3
10,2019,MasterCard,Débito,211226,115589,1931664,186615895.98,1
11,2018,MasterCard,Débito,204756,116143,1947513,188355502.86,2
12,2020,MasterCard,Crédito,2002686,1365753,15099416,3701755323.08,2
13,2013,MasterCard,Crédito,940806,411074,5770441,1412129918.82,2
14,2021,Bandeira própria,Pré-Pago,591217,246442,502900338,895538643.09,4
15,2021,MasterCard,Crédito,18480826,6593537,86543678,8953321061.62,2
16,2015,VISA,Crédito,660876,492751,33837057,5769788455.58,4
17,2019,VISA,Crédito,5152635,3788951,179935751,22879997226.87,1
18,2014,Outras,Crédito,1305116,304883,118144,82424785.57,4
19,2014,MasterCard,Débito,121501342,38426735,568540737,33444199947.53,3
20,2013,Elo,Crédito,3698272,1150141,9230085,499945030.55,4
21,2012,Outras,Crédito,2159468,164928,489033,70278893.95,3
22,2011,Outras,Crédito,2779349,534015,1840032,177824734.4,2
23,2022,MasterCard,Crédito,166240,103685,4327659,2231853629.57,3
24,2015,American Express,Crédito,97065,29729,924110,219464164.78,3
25,2020,VISA,Pré-Pago,1418,1082,18586,1585466.24,1
26,2011,VISA,Crédito,491084,238525,3254579,1431979785.64,4
27,2023,MasterCard,Débito,1840152,431006,15493534,1033834993.12,4
28,2021,American Express,Crédito,468261,331442,8801209,1556259279.42,4
29,2023,American Express,Crédito,68432,49995,1165487,1023587778.22,1
30,2020,Elo,Débito,711850,301075,4930991,643004234.76,2
31,2023,VISA,Crédito,31076744,19127287,417828583,48914061738.39,2
32,2021,MasterCard,Crédito,10294822,8187849,271283561,32837370974.06,1
33,2013,MasterCard,Débito,185099,90598,989807,91465183.4,2
34,2018,Elo,Crédito,1292390,503812,8362809,902664510.76,2
35,2016,VISA,Pré-Pago,84262,84262,22805,1606826.0,4
36,2018,VISA,Débito,112491221,29984098,571613876,37191883186.49,3
37,2015,VISA,Débito,306890,172913,4293769,462183645.41,4
38,2013,VISA,Crédito,18649001,9387310,159228178,14947405873.13,4
39,2020,Outras,Débito,3483227,1879278,37663683,3514335509.79,3
40,2011,VISA,Débito,1192263,717039,14354232,1168897035.94,2
41,2019,VISA,Débito,1365888,844588,26055528,1870863762.38,2
42,2020,Elo,Débito,1889,1,1,170.5,2
43,2016,VISA,Crédito,29002039,15105110,158829599,13664890774.69,1
44,2018,Elo,Pré-Pago,1337875,947924,7257605,331935381.64,1
45,2016,Outras,Crédito,792712,214935,2776191,452822477.96,2
46,2020,MasterCard,Crédito,33973112,19131293,309033578,35772743067.29,3
47,2022,VISA,Pré-Pago,180084,125043,0,0.0,2
48,2023,MasterCard,Débito,9474150,3352841,76682580,5459519111.92,2
49,2023,Elo,Pré-Pago,2082229,1344883,11210951,733787278.18,3
50,2014,MasterCard,Crédito,505405,352026,18725155,3652446305.09,4
51,2018,Bandeira própria,Pré-Pago,222334,43415,55164,1658675.48,3
52,2021,MasterCard,Crédito,61993734,34881438,710787693,63631500762.78,3
53,2013,American Express,Crédito,1857287,1102284,20618242,2001819722.8,4
54,2013,MasterCard,Crédito,7942038,4772949,86029385,10587140365.16,2
55,2023,MasterCard,Débito,1734814,428364,14619835,974851189.78,2
56,2018,Bandeira própria,Crédito,4370634,2414199,5848505,688647217.3,4
57,2011,Hipercard,Crédito,9311270,5234955,49117684,4968425481.61,1
58,2014,VISA,Débito,8071498,3699012,67270450,4344401799.45,4
59,2023,American Express,Crédito,302,280,13399,16739133.67,2
60,2014,Cheque Eletrônico,Débito,576993,422077,2348,1230492.44,3
61,2023,VISA,Crédito,10139018,7337629,310784314,46491525168.19,2
62,2011,American Express,Crédito,15716,6166,144455,13189906.88,2
63,2012,VISA,Crédito,4418743,2964156,106849930,13960570902.65,4
64,2011,American Express,Crédito,92572,4431,52101,9098858.45,3
65,2019,Elo,Débito,63499660,28883411,417426430,23130709579.62,3
66,2016,Elo,Débito,49267749,16533921,187513730,11232998174.82,4
67,2022,VISA,Débito,1811479,1070345,38507949,3587414332.41,1
68,2022,MasterCard,Crédito,4121226,3413424,234973738,47758118463.15,4
69,2022,VISA,Débito,937,132,10398,609159.38,2
70,2018,Elo,Crédito,23629,14353,21198,123991479.49,3
71,2023,Bandeira própria,Crédito,18174876,3240477,9093191,1415724621.68,2
72,2021,MasterCard,Débito,3449,2273,90696,8357473.59,4
73,2021,MasterCard,Crédito,4387569,2307420,36611101,9310377680.7,4
74,2018,VISA,Crédito,6989009,5198613,167408848,20421902707.59,4
75,2012,Hipercard,Crédito,7934944,4930552,52519930,6067276624.78,4
76,2011,Hipercard,Crédito,8637264,5214912,51822202,5461543282.79,3
77,2022,MasterCard,Crédito,79401800,33234640,417252277,45759967960.8,2
78,2015,Elo,Crédito,14845,8503,6344,112877244.32,4
79,2015,VISA,Débito,1430668,816015,18591954,1414386591.96,1
80,2019,MasterCard,Débito,773058,414752,10817455,890985189.96,4
81,2011,VISA,Débito,132862441,44673160,417822821,22453493304.84,3
82,2018,Elo,Pré-Pago,1845218,1406027,9870831,524253252.96,4
83,2019,VISA,Débito,1506131,883473,28879088,2089414396.42,3
84,2020,Elo,Crédito,743664,580711,9070270,1040683831.88,3
85,2017,MasterCard,Crédito,15514432,10367372,168935297,16002923888.77,2
86,2013,VISA,Crédito,7487504,4917180,110726331,13586931534.65,2
87,2019,VISA,Crédito,7135206,5194476,167612859,19379053809.34,2
88,2021,Bandeira própria,Débito,1177660,504518,4951051,361757453.37,3
89,2023,VISA,Débito,81187441,22486156,590318200,38906543177.25,2
90,2020,VISA,Débito,9092406,4414639,102827103,6525291874.91,1
91,2016,MasterCard,Crédito,11121397,7478416,166732262,19639552533.03,4
92,2017,VISA,Crédito,25663276,13338027,150079970,13020464056.96,1
93,2017,Diners Club,Crédito,197589,179847,3383983,543217943.55,2
94,2022,VISA,Crédito,23465105,15050538,306981212,35962823159.87,3
95,2015,VISA,Crédito,547772,252662,3461026,1159032411.38,1
96,2018,MasterCard,Crédito,31387297,12365676,175964530,17655364949.63,2
97,2012,Elo,Débito,1847721,231772,1627092,85252338.34,4
98,2012,MasterCard,Crédito,867163,335027,5105088,1273167143.29,2
99,2015,VISA,Crédito,26006370,13343578,161277296,13460079324.9,1
100,2014,MasterCard,Débito,2277841,760185,11777630,712123275.83,2
101,2019,MasterCard,Débito,114196144,40606682,1140136903,65253291661.82,3
102,2018,Elo,Débito,24353812,7130670,165197826,8725272544.39,2
103,2015,MasterCard,Débito,738371,310528,6558197,479235474.33,3
104,2021,Elo,Débito,903058,371062,7897364,1091779471.58,2
105,2012,American Express,Crédito,50,40,16042,1680381.73,4
106,2013,MasterCard,Crédito,59484,30186,1033877,414285308.83,4
107,2011,VISA,Crédito,3580092,2246116,77953331,9767486503.73,3
108,2013,MasterCard,Débito,2644140,741147,9888731,572513691.92,1
109,2015,Outras,Débito,3436013,1350517,29529821,2080448750.61,1
110,2020,MasterCard,Débito,708846,419067,11533560,925802913.94,4
111,2017,MasterCard,Crédito,89672,53810,1805167,663351567.19,3
112,2022,MasterCard,Pré-Pago,19379462,2744873,33798297,1931888910.89,3
113,2014,MasterCard,Débito,781897,342312,6591501,472634626.0,3
114,2013,VISA,Crédito,517313,243624,4095940,1494229450.05,3
115,2014,Hipercard,Crédito,7724238,4614490,53329059,6369494028.37,2
116,2021,Elo,Crédito,55627,48417,1855029,380397598.82,4
117,2020,VISA,Pré-Pago,668034,130895,2205680,188057717.3,3
118,2022,VISA,Débito,12308499,6658638,171524153,11533429361.03,1
119,2016,MasterCard,Crédito,8809395,3641636,46948297,4609905909.09,4
120,2014,Elo,Crédito,3880,1375,1799,45833822.79,3
121,2022,Elo,Crédito,7951252,3230299,59547874,7813214917.61,2
122,2012,MasterCard,Crédito,872988,394929,5583366,1491024900.96,4
123,2014,American Express,Crédito,626116,375383,12782637,1977287008.34,3
124,2018,VISA,Débito,972468,472389,10458649,1308959934.26,1
125,2023,MasterCard,Crédito,96625382,30799487,323675949,32108289902.12,3
126,2023,Elo,Crédito,2736600,937016,14227043,3108578463.03,3
127,2017,VISA,Crédito,438091,247285,3744176,1044517291.25,1
128,2019,MasterCard,Pré-Pago,396140,126531,1618904,86701091.95,3
129,2021,VISA,Pré-Pago,792538,114591,2696424,251703294.49,1
